number_of_rooms,floor,area,address,date,price
1,1,58.0,Сомони,Сегодня 21:56,330000
1,14,68.0,92 мкр,Сегодня 21:56,340000
3,8,50,,Сегодня 21:55,700000
3,14,84.0,112 мкр,Сегодня 21:51,700000
3,3,83.0,фабрика Ширин,Сегодня 21:48,415000
3,4,53.0,32 мкр,Сегодня 21:42,513000
2,12,67.0,И.Сомони,Сегодня 21:39,360000
2,4,52.0,,Сегодня 21:32,397000
2,7,95.0,,Сегодня 21:14,499000
2,15,73.0,якум советский,Сегодня 21:14,450000
1,16,47.0,,Сегодня 21:07,395000
2,15,52.0,Зарафшон,Сегодня 21:06,370000
1,4,50.0,Сино,Сегодня 21:05,490000
2,11,51.0,Зарафшон,Сегодня 21:05,430000
2,9,48.0,Испечак,Сегодня 21:01,391000
3,12,98.0,,Сегодня 20:58,1026000
2,3,55.0,,Сегодня 20:54,375000
1,7,65.0,Бозори Балх,Сегодня 20:52,229000
3,15,50,,Сегодня 20:52,575000
4,17,122.0,,Сегодня 20:52,1290000
3,6,78.0,И. Сомони,Сегодня 20:45,710000
1,7,67.0,Хитой бозор,Сегодня 20:40,275000
3,11,106.0,н.Сино 82 мкр.,Сегодня 20:39,1112300
4,3,67.0,профсоюз с/шерози 37/2,Сегодня 20:36,900000
2,17,70.0,70 (квадрат),Сегодня 20:36,300000
3,10,68.0,Яккачинор,Сегодня 20:19,473100
3,3,90.0,Сино,Сегодня 19:59,433200
2,10,50,,Сегодня 19:52,330000
3,11,50,,Сегодня 19:48,910000
3,9,50,,Сегодня 19:47,1020000
2,11,73.0,И. Сомони,Сегодня 19:42,855000
2,7,79.0,Профсоюз,Сегодня 19:36,490000
1,12,64.0,Профсоюз,Сегодня 19:36,355000
2,14,56.0,Сино 92мкр,Сегодня 19:35,421000
2,3,53.0,Фирдавси,Сегодня 19:31,300000
3,2,60.0,,Сегодня 19:28,550000
1,3,45.0,Фирдавси,Сегодня 19:28,180000
3,3,80.0,1 советский,Сегодня 19:25,680000
3,2,80.0,82 мкр,Сегодня 19:25,780000
2,4,52.0,7 км,Сегодня 19:24,193000
1,13,42.0,Аеропорт,Сегодня 19:23,262000
1,9,41.0,Зарафшон,Сегодня 19:21,117000
2,4,36.0,Фирдавси,Сегодня 19:19,325000
2,4,52.0,Шохмансур,Сегодня 19:19,547000
6,4,95.0,101 мкр,Сегодня 19:17,990000
